,part_number,description,quantity,price,roi
2821,2884899-266,"k-mount,driving light,3.5 ,blk",2,279.99,-100.0
2822,2884900,k-heated grip,6,359.99,-85.71
2823,2884901-vba,"k-lower,soft,blk",1,244.99,-57.14
2824,2884902-266,"k-hardware,ws,blk",4,104.99,-89.28
2825,2884906,"k-closeout,lower,cmf",3,279.99,-100.0
2826,2884925,"k-spool,acc",2,234.99,-78.57
2827,2884940-266,"k-ws,low,blk,blk",3,679.99,-100.0
2828,2884940-410,"k-ws,low,blk,plshd",2,679.99,-100.0
2829,2884941-266,"k-ws,mid,tint,blk",2,679.99,-78.57
2830,2884941-410,"k-ws,mid,tint,plshd",2,679.99,-100.0
2831,2884949-vbc,"k-seat,floating,blk",2,319.99,-100.0
2832,2884950-156,"k-airbox,ind,chr",2,744.99,-57.14
2833,2884950-266,"k-airbox,ind,blk",3,769.99,-100.0
2834,2884951-266,"k-switch,panel,blk",3,104.99,-71.42
2835,2884965-01,"k-saddlebag,bob.blk",3,389.99,-85.71
2836,2884996-156,"k-hdlt,adapt,5 ,h4,chr",4,679.99,-100.0
2837,2884996-266,"k-hdlt,adapt,5 ,h4,blk",2,704.99,-100.0
2838,2885001-266,"k-hndlbar,miniape,blk",4,259.99,-100.0
2839,2885004-156,"k-rack,solo,chr",1,424.99,-100.0
2840,2885100,"k-lines,acc hndlbr instl stnd",2,234.99,-57.14
2841,2885101,"k-lines,acc hndlbr instl long",2,234.99,-57.14
2842,2885133-156,"k-rack,solo,scout,chr",4,294.99,-100.0
2843,2885133-266,"k-rack,solo,scout,blk",3,309.99,-100.0
2844,2885138-266,"k-hndlbar,midrise,blk",1,489.99,-57.14
2845,2885148,k-acc hndlbr instl,1,104.99,-100.0
2846,2885149,"k-acc hndlbr instl,lgnd",9,104.99,-100.0
2847,2885176-266,"k-hndlbar,lowrise,blk",1,359.99,-100.0
2848,2889023,"oil-ss rad fluid 85w250,1qt(12)",12,34.99,-100.0
2849,2889057,"k-speaker,5.25,100w,trnk",1,839.99,-100.0
2850,2889113,"k-mount,seat",2,234.99,-100.0
2851,2889144-vba,"k-bag,wknd,tour",1,489.99,-14.28
2852,2889145-vba,"k-bag,day,tour",2,269.99,-100.0
2853,2889213-266,"k-psngr foot cntrls,blk",2,259.99,-78.57
2854,2889214-266,"k-drvr ft cntrls,mid,blk",2,424.99,-100.0
2855,2889215-266,"k-drvr ft cntrls,fwd,blk",2,489.99,-100.0
2856,2889216-266,"k-drvr ft cntrls,boards,blk",2,619.99,-100.0
2857,2889224,"k-accy saddlebag lights,na",6,259.99,-100.0
2858,2889282-vba,"k-saddlebag,semi-rigid v2, blk",1,964.99,-48.02
2859,2889284-vba,"k-seat,sport,bob,blk",1,554.99,-14.28
2860,2889299-vba,"k-accy backrest pad,wknd bag",1,144.99,-100.0
2861,2889300-266,"k-handlebar,extrch,v,blk",2,279.99,-100.0
2862,2889301-156,"k-handlebar,redrch,v,chr",1,269.99,-100.0
2863,2889301-266,"k-handlebar,redrch,v,blk",1,279.99,-100.0
2864,2889304-01,"k-gauge,tach,ind,blk",5,399.99,-100.0
2865,2889311,"k-20w40 indian ock, 6qt",54,139.99,-42.53
